LogbackConfigurer, LogstashEncoder, all fields

Benchmark               (markersCount)  (paramCount)  Mode  Cnt     Score    Error  Units
EncodeBenchmark.encode               0             1  avgt   10  1333.585 ±  3.272  ns/op
EncodeBenchmark.encode               0             2  avgt   10  1372.467 ±  5.193  ns/op
EncodeBenchmark.encode               0             3  avgt   10  1423.549 ± 18.756  ns/op
EncodeBenchmark.encode               0             5  avgt   10  1548.878 ±  7.946  ns/op
EncodeBenchmark.encode               0            10  avgt   10  1765.642 ±  1.014  ns/op
EncodeBenchmark.encode               1             1  avgt   10  1459.069 ±  3.220  ns/op
EncodeBenchmark.encode               1             2  avgt   10  1542.675 ±  2.530  ns/op
EncodeBenchmark.encode               1             3  avgt   10  1575.497 ±  1.263  ns/op
EncodeBenchmark.encode               1             5  avgt   10  1709.719 ±  2.224  ns/op
EncodeBenchmark.encode               1            10  avgt   10  1982.340 ±  2.566  ns/op
EncodeBenchmark.encode               2             1  avgt   10  1581.471 ±  2.171  ns/op
EncodeBenchmark.encode               2             2  avgt   10  1625.622 ±  4.824  ns/op
EncodeBenchmark.encode               2             3  avgt   10  1737.963 ±  4.562  ns/op
EncodeBenchmark.encode               2             5  avgt   10  1844.757 ±  8.065  ns/op
EncodeBenchmark.encode               2            10  avgt   10  2051.040 ±  2.190  ns/op
EncodeBenchmark.encode               3             1  avgt   10  1635.964 ±  3.279  ns/op
EncodeBenchmark.encode               3             2  avgt   10  1730.938 ±  1.638  ns/op
EncodeBenchmark.encode               3             3  avgt   10  1753.167 ±  4.651  ns/op
EncodeBenchmark.encode               3             5  avgt   10  1922.507 ±  1.863  ns/op
EncodeBenchmark.encode               3            10  avgt   10  2094.912 ±  3.623  ns/op
EncodeBenchmark.encode               5             1  avgt   10  1831.029 ±  3.290  ns/op
EncodeBenchmark.encode               5             2  avgt   10  1880.809 ±  1.874  ns/op
EncodeBenchmark.encode               5             3  avgt   10  1964.858 ±  4.442  ns/op
EncodeBenchmark.encode               5             5  avgt   10  2083.584 ± 23.684  ns/op
EncodeBenchmark.encode               5            10  avgt   10  2326.281 ±  3.567  ns/op


LogbackConfigurer, LogstashEncoder, only timestamp

Benchmark               (markersCount)  (paramCount)  Mode  Cnt     Score    Error  Units
EncodeBenchmark.encode               0             1  avgt   10  1235.469 ±  4.892  ns/op
EncodeBenchmark.encode               0             2  avgt   10  1235.133 ± 11.054  ns/op
EncodeBenchmark.encode               0             3  avgt   10  1224.930 ±  3.187  ns/op
EncodeBenchmark.encode               0             5  avgt   10  1231.191 ±  2.496  ns/op
EncodeBenchmark.encode               0            10  avgt   10  1236.127 ±  5.814  ns/op
EncodeBenchmark.encode               1             1  avgt   10  1287.304 ±  7.034  ns/op
EncodeBenchmark.encode               1             2  avgt   10  1228.915 ±  1.888  ns/op
EncodeBenchmark.encode               1             3  avgt   10  1231.938 ±  6.899  ns/op
EncodeBenchmark.encode               1             5  avgt   10  1285.420 ±  1.970  ns/op
EncodeBenchmark.encode               1            10  avgt   10  1251.643 ±  2.958  ns/op
EncodeBenchmark.encode               2             1  avgt   10  1231.702 ±  2.218  ns/op
EncodeBenchmark.encode               2             2  avgt   10  1230.433 ±  2.721  ns/op
EncodeBenchmark.encode               2             3  avgt   10  1267.219 ±  3.282  ns/op
EncodeBenchmark.encode               2             5  avgt   10  1234.920 ±  7.181  ns/op
EncodeBenchmark.encode               2            10  avgt   10  1237.255 ±  2.309  ns/op
EncodeBenchmark.encode               3             1  avgt   10  1285.420 ±  9.695  ns/op
EncodeBenchmark.encode               3             2  avgt   10  1238.625 ± 12.440  ns/op
EncodeBenchmark.encode               3             3  avgt   10  1288.720 ±  3.152  ns/op
EncodeBenchmark.encode               3             5  avgt   10  1291.026 ±  7.260  ns/op
EncodeBenchmark.encode               3            10  avgt   10  1286.543 ±  8.461  ns/op
EncodeBenchmark.encode               5             1  avgt   10  1293.050 ±  8.548  ns/op
EncodeBenchmark.encode               5             2  avgt   10  1297.962 ±  4.381  ns/op
EncodeBenchmark.encode               5             3  avgt   10  1247.740 ±  8.573  ns/op
EncodeBenchmark.encode               5             5  avgt   10  1235.301 ±  8.464  ns/op
EncodeBenchmark.encode               5            10  avgt   10  1283.147 ± 12.160  ns/op


LogbackConfigurer, LogstashEncoder, everything except timestamp

Benchmark               (markersCount)  (paramCount)  Mode  Cnt     Score    Error  Units
EncodeBenchmark.encode               0             1  avgt   10   904.839 ±  8.118  ns/op
EncodeBenchmark.encode               0             2  avgt   10   996.757 ±  8.834  ns/op
EncodeBenchmark.encode               0             3  avgt   10  1029.698 ±  6.081  ns/op
EncodeBenchmark.encode               0             5  avgt   10  1158.851 ±  8.844  ns/op
EncodeBenchmark.encode               0            10  avgt   10  1390.639 ±  5.623  ns/op
EncodeBenchmark.encode               1             1  avgt   10  1076.599 ±  5.549  ns/op
EncodeBenchmark.encode               1             2  avgt   10  1148.063 ±  4.405  ns/op
EncodeBenchmark.encode               1             3  avgt   10  1201.167 ±  8.309  ns/op
EncodeBenchmark.encode               1             5  avgt   10  1306.344 ±  8.903  ns/op
EncodeBenchmark.encode               1            10  avgt   10  1567.709 ±  5.484  ns/op
EncodeBenchmark.encode               2             1  avgt   10  1145.095 ±  9.434  ns/op
EncodeBenchmark.encode               2             2  avgt   10  1220.346 ± 17.342  ns/op
EncodeBenchmark.encode               2             3  avgt   10  1302.570 ± 12.270  ns/op
EncodeBenchmark.encode               2             5  avgt   10  1431.815 ± 20.351  ns/op
EncodeBenchmark.encode               2            10  avgt   10  1659.490 ± 10.066  ns/op
EncodeBenchmark.encode               3             1  avgt   10  1280.567 ± 33.227  ns/op
EncodeBenchmark.encode               3             2  avgt   10  1336.425 ±  3.361  ns/op
EncodeBenchmark.encode               3             3  avgt   10  1365.298 ±  2.187  ns/op
EncodeBenchmark.encode               3             5  avgt   10  1486.558 ±  4.206  ns/op
EncodeBenchmark.encode               3            10  avgt   10  1784.615 ±  5.206  ns/op
EncodeBenchmark.encode               5             1  avgt   10  1443.794 ±  4.077  ns/op
EncodeBenchmark.encode               5             2  avgt   10  1491.596 ±  3.287  ns/op
EncodeBenchmark.encode               5             3  avgt   10  1589.486 ±  2.388  ns/op
EncodeBenchmark.encode               5             5  avgt   10  1691.850 ±  2.500  ns/op
EncodeBenchmark.encode               5            10  avgt   10  1882.988 ±  2.583  ns/op
